<ID|readonly|noverify>;<English>
//GUNS

//AMMUNITION

//BOMBS

//ROCKETS
weapons/cn_fs_70;火蛇70航空火箭弹 <color=#ff6f00>RKT</color>
weapons/cn_fs_70/short;火蛇70
weapons/cn_fire_snake_70a;火蛇70A航空制导火箭弹 <color=#ff6f00>RKT-GNSS</color>
weapons/cn_fire_snake_70a/short;火蛇70A

//MISSILES
weapons/su_pl2;霹雳2 | K/AKK2空空导弹 <color=#ff6f00>AAM-IR</color>
weapons/su_pl2/short;K/AKK2
weapons/su_pl2_default;霹雳2 | K/AKK2空空导弹 <color=#ff6f00>AAM-IR</color>
weapons/su_pl2_default/short;K/AKK2
weapons/su_pl5b;霹雳5B | K/AKK5B空空导弹 <color=#ff6f00>AAM-IR</color>
weapons/su_pl5b/short;K/AKK5B
weapons/su_pl5b_default;霹雳5B | K/AKK5B空空导弹 <color=#ff6f00>AAM-IR</color>
weapons/su_pl5b_default/short;K/AKK5B
weapons/su_pl5c;霹雳5C | K/AKK5C空空导弹 <color=#ff6f00>AAM-IR</color>
weapons/su_pl5c/short;K/AKK5C
weapons/su_pl5c_default;霹雳5C | K/AKK5C空空导弹 <color=#ff6f00>AAM-IR</color>
weapons/su_pl5c_default/short;K/AKK5C
weapons/su_pl5e2;霹雳5EII | K/AKK5EII空空导弹 <color=#ff6f00>AAM-IR</color>
weapons/su_pl5e2/short;K/AKK5EII
weapons/su_pl5e2_default;霹雳5EII | K/AKK5EII空空导弹 <color=#ff6f00>AAM-IR</color>
weapons/su_pl5e2_default/short;K/AKK5EII
weapons/su_pl7;霹雳7 | K/AKK7空空导弹 <color=#ff6f00>AAM-IR</color>
weapons/su_pl7/short;K/AKK7
weapons/cn_pl8;霹雳8 | K/AKK8空空导弹 <color=#ff6f00>AAM-IR</color>
weapons/cn_pl8/short;K/AKK8
weapons/cn_pl8_default;霹雳8 | K/AKK8空空导弹 <color=#ff6f00>AAM-IR</color>
weapons/cn_pl8_default/short;K/AKK8
weapons/cn_pl8b;霹雳8B | K/AKK8B空空导弹 <color=#ff6f00>AAM-IR</color>
weapons/cn_pl8b/short;K/AKK8B
weapons/cn_pl8b_default;霹雳8B | K/AKK8B空空导弹 <color=#ff6f00>AAM-IR</color>
weapons/cn_pl8b_default/short;K/AKK8B
weapons/cn_pl11;霹雳11 | K/AKK11空空导弹 <color=#ff6f00>AAM-SARH</color>
weapons/cn_pl11/short;K/AKK11
weapons/cn_pl12;霹雳12 | K/AKK12空空导弹 <color=#ff6f00>AAM-ARH</color>
weapons/cn_pl12/short;K/AKK12
weapons/cn_pl12_default;霹雳12 | K/AKK12空空导弹 <color=#ff6f00>AAM-ARH</color>
weapons/cn_pl12_default/short;K/AKK12
weapons/cn_ty_90;天燕1990 | L/AKK90空空导弹 <color=#ff6f00>AAM-IR</color>
weapons/cn_ty_90/short;L/AKK90
weapons/cn_yj_81k;鹰击81 | H/AKJ81空舰导弹 <color=#ff6f00>AShM-ARH</color>
weapons/cn_yj_81k/short;H/AKJ81
weapons/cn_hj_8a;红箭8A | L/AFT08A反坦克导弹 <color=#ff6f00>AGM-WG</color>
weapons/cn_hj_8a/short;L/AFT08A
weapons/cn_hj_8c;红箭8C | L/AFT08C反坦克导弹 <color=#ff6f00>AGM-WG</color>
weapons/cn_hj_8c/short;L/AFT08C
weapons/cn_hj_8e;红箭8E | L/AFT08E反坦克导弹 <color=#ff6f00>AGM-WG</color>
weapons/cn_hj_8e/short;L/AFT08E
weapons/cn_hj_8e_default;红箭8E | L/AFT08E反坦克导弹 <color=#ff6f00>AGM-WG</color>
weapons/cn_hj_8e_default/short;L/AFT08E
weapons/cn_hj_8h;红箭8H | L/AFT08H反坦克导弹 <color=#ff6f00>AGM-WG</color>
weapons/cn_hj_8h/short;L/AFT08H
weapons/cn_hj_8l;红箭8L | L/AFT08L反坦克导弹 <color=#ff6f00>AGM-WG</color>
weapons/cn_hj_8l/short;L/AFT08L
weapons/125mm_hj_73_rocket_launcher;红箭73 | L/AFT07反坦克导弹 <color=#ff6f00>LCH</color>
weapons/125mm_hj_73_rocket_launcher/short;L/AFT07
weapons/125mm_AFT_07_rocket_launcher;红箭73E | L/AFT07E反坦克导弹 <color=#ff6f00>LCH</color>
weapons/125mm_AFT_07_rocket_launcher/short;L/AFT07E
weapons/152mm_hj_9_launcher_user_cannon;红箭9 | L/AFT09重型反坦克导弹发射车 <color=#ff6f00>LCH</color>
fb10_rocket;飞豹10
fb10a_rocket;飞豹10A
weapons/130mm_FB_10_rocket_launcher;飞豹10地對空导弹发射器 <color=#ff6f00>LCH</color>
weapons/239mm_HQ_17_user_cannon;红旗17 | L/ADK17地對空导弹系統 <color=#ff6f00>LCH</color>
weapons/72mm_HN_6_launcher_user_cannon;红缨6地對空导弹发射器 <color=#ff6f00>LCH</color>
72mm_hn_6;红缨6
weapons/72mm_hn_6/short;红缨6

//TORPEDOES

//MINES

//DEPTH CHARGES

//FUEL TANKS

//SMOKE GRENADES
