<ID|readonly|noverify>;<English>
//GROUPS
shop/group/mig-19_china_group;歼6A / 7II

//CHINA AIRCRAFT - VEHICLE/FAMILY START: RANK 1

//CHINA AIRCRAFT - VEHICLE/FAMILY START: RANK 2

//CHINA AIRCRAFT - VEHICLE/FAMILY START: RANK 3

//CHINA AIRCRAFT - VEHICLE/FAMILY START: RANK 4

//CHINA AIRCRAFT - VEHICLE/FAMILY START: RANK 5

//CHINA AIRCRAFT - VEHICLE/FAMILY START: RANK 6
mig-19j_6a_shop;歼6A
mig-19j_6a_0;Czyentral'noye konstruktorskoye bûro № 155 SM-7/3 / 国营松陵机械厂 | 歼6A型飞机
mig-19j_6a_1;歼6A
mig-19j_6a_2;歼6
j_7_mk2_shop;歼7II
j_7_mk2_0;Czyentral'noye konstruktorskoye bûro № 155 / 国营132厂 | 歼7II型飞机
j_7_mk2_1;歼7II
j_7_mk2_2;歼7
q_5_early_shop;强5
q_5_early_0;南昌飞机制造公司 | 强5型飞机
q_5_early_1;强5
q_5_early_2;强5
q_5a_shop;强5B
q_5a_0;昌飞机制造公司 | 强5B型飞机
q_5a_1;强5B
q_5a_2;强5

//CHINA AIRCRAFT - VEHICLE/FAMILY START: RANK 7

//CHINA AIRCRAFT - VEHICLE/FAMILY START: RANK 8

//CHINA HELICOPTERS - VEHICLE/FAMILY START: RANK 5
z_11wa_shop;直11WA
z_11wa_0;昌河飞机工业 (集团) | 直11WA型武装直升机
z_11wa_1;直11WA
z_11wa_2;直11

//CHINA HELICOPTERS - VEHICLE/FAMILY START: RANK 6
z_9w_shop;直9W
z_9w_0;哈尔滨飞机工业 (集团) | 直9W型武装直升机
z_9w_1;直9W
z_9w_2;直9
z_9wa_shop;直9WA
z_9wa_0;哈尔滨飞机工业 (集团) | 直9WA型武装直升机
z_9wa_1;直9WA
z_9wa_2;直9
z_19_shop;直19
z_19_0;"哈尔滨飞机工业 (集团) | 直19型武装直升机 ""黑旋风"""
z_19_1;直19
z_19_2;直19
z_19e_shop;直19E
z_19e_0;"哈尔滨飞机工业 (集团) | 直19E型武装直升机 ""鸢"""
z_19e_1;直19E
z_19e_2;直19

//CHINA HELICOPTERS - VEHICLE/FAMILY START: RANK 7
z_10_shop;直10
z_10_0;"昌河飞机工业 (集团) | 直10型武装直升机 ""霹雳火"""
z_10_1;直10
z_10_2;直10
z_10me_shop;直10ME-02
z_10me_0;"昌河飞机工业 (集团) | 直10ME-02型武装直升机 ""霹雳火"""
z_10me_1;直10ME
z_10me_2;直10
z_10a_shop;直10 (2018)
z_10a_0;"昌河飞机工业 (集团) | 直10型武装直升机 ""霹雳火"" (2018)"
z_10a_1;直10
z_10a_2;直10

//CHINA GROUND VEHICLES - VEHICLE/FAMILY START: RANK 1

//CHINA GROUND VEHICLES - VEHICLE/FAMILY START: RANK 2

//CHINA GROUND VEHICLES - VEHICLE/FAMILY START: RANK 3

//CHINA GROUND VEHICLES - VEHICLE/FAMILY START: RANK 4

//CHINA GROUND VEHICLES - VEHICLE/FAMILY START: RANK 5

//CHINA GROUND VEHICLES - VEHICLE/FAMILY START: RANK 6
cn_hj_9_shop;AFT09
cn_hj_9_0;中国兵器工业集团有限公司 | 红箭9 | AFT09重型反坦克导弹发射车
cn_hj_9_1;AFT09
cn_hj_9_2;ATGMC

//CHINA GROUND VEHICLES - VEHICLE/FAMILY START: RANK 7

//CHINA GROUND VEHICLES - VEHICLE/FAMILY START: RANK 8
cn_hq_17_shop;ADK17
cn_hq_17_0;中国精密机械进出口总公司 | 红旗17 | ADK17地對空导弹系統
cn_hq_17_1;ADK17
cn_hq_17_2;SPAAM
