<ID|readonly|noverify>;<English>
//USA GUNS

//GERMANY GUNS

//USSR GUNS

//UK GUNS

//JAPAN GUNS

//CHINA GUNS

//ITALY

//FRANCE GUNS

//SWEDEN GUNS

//ISRAEL GUNS

//UNCATEGORIZED GUNS

//USA AMMUNITION

//GERMANY AMMUNITION
modification/350mm_germ_skl_45_navy_apcbc;35cm Panzersprenggranate Lange/3,6
modification/350mm_germ_skl_45_navy_apcbc_ammo_pack;35cm Panzersprenggranate Lange/3,6

//USSR AMMUNITION

//UK AMMUNITION

//JAPAN AMMUNITION

//CHINA AMMUNITION

//ITALY AMMUNITION

//FRANCE AMMUNITION

//SWEDEN AMMUNITION

//ISRAEL AMMUNITION

//UNCATEGORIZED AMMUNITION

//USA BOMBS
modification/us_gbu54b;GBU-54(V)1/B / 62(V)1/B LJDAM-ER
modification/us_gbu54b/desc;"Loadout unlocked: 260.816 kg <color=@userlogColoredText>Bomb, Guided, GBU-54(V)1/B Laser Joint Direct Attack Munition</color> GNSS- and laser-guided bomb.
Loadout unlocked: 289.72 kg <color=@userlogColoredText>Bomb, Guided, GBU-62(V)1/B Laser Joint Direct Attack Munition Extended Range</color> GNSS- and laser-guided bomb."
modification/us_500lb_mk82_gbu38_gbu62_jdam;Mk 82 Mod 0 / GBU-38(V)1/B / 62(V)1/B
modification/us_500lb_mk82_gbu38_gbu62_jdam/desc;"Loadout unlocked: 240.9 kg <color=@userlogColoredText>Bomb, 500lb, GP, Mk 82 Mod 0</color> bomb.
Loadout unlocked: 240.9 kg <color=@userlogColoredText>Bomb, Guided, GBU-38(V)1/B Joint Direct Attack Munition</color> GNSS-guided bomb.
Loadout unlocked: 289.72 kg <color=@userlogColoredText>Bomb, Guided, GBU-62(V)1/B Joint Direct Attack Munition Extended Range</color> GNSS-guided bomb."
modification/us_1000lb_mk83_us_2000lb_mk84;Mk 83 Mod 0 / 84 Mod 0
modification/us_1000lb_mk83_us_2000lb_mk84/desc;"Loadout unlocked: 446.8 kg <color=@userlogColoredText>Bomb, 1000lb, GP, Mk 83 Mod 0</color> bomb.
Loadout unlocked: 893.6 kg <color=@userlogColoredText>Bomb, 2000lb, GP, Mk 84 Mod 0</color> bomb."
