<ID|readonly|noverify>;<English>
//AMMUNITION
30mm_UOF23;3УОФ23 (3ОФ23)
30mm_china_API;3УБР6 (3БР6)
122mm_3vdcz3;3ВДЦ3 (3ДЦ3)
125mm_3of_82;3ВОФ128 (3ОФ82)

//ROCKETS
650mm_9m79;Тактическая баллистическая ракета 9М79

//MISSILES
209mm_9m33;Зенитная управляемая ракета 9М33М
360mm_9m317ma;Зенитная управляемая ракета 9М317МА
400mm_9m38;Зенитная управляемая ракета 9М38
400mm_9m38m1;Зенитная управляемая ракета 9М38М1
508mm_5v55r;Зенитная управляемая ракета В-500Р
130mm_9m120_1;Противотанковая управляемая ракету 9М120-1
130mm_9m120_1f;Противотанковая управляемая ракету 9М120-1Ф
170mm_zur_95ya6;Зенитная управляемая ракета 57Э6-Е
170mm_57e6m;Зенитная управляемая ракета 57Э6М-Е-М
170mm_tkb_1055;Зенитная управляемая ракета ТКБ-1055
300mm_9m55f;300-мм реактивный снаряд 9М55Ф
