<ID|readonly|noverify>;<English>
<color=#81c3fc>Manufacturer & manufacturer name</color>
<color=#ff8c80>Military project</color>
<color=#5cae63>Index (G-, Sd.Kfz., Ps., etc.)</color>
<color=#fffa62>Ship class</color>
<color=#ff831c>Previous name</color>
<color=#7ce68f>Alternate applicable name</color>
Vehicle name
<color=#adadad>Modifications</color>
<color=#ba77ba>Service years package</color>
<color=@currencyGoldColor>Unit/Ace</color>

//COASTAL FLEET - VEHICLE/FAMILY START: RANK 1
germ_ls_class_shop;LS 3
germ_ls_class_0;"<color=#81c3fc>Dornier-Werft</color>
<color=#fffa62>leichtes Schnellboot</color>
LS 3"
germ_ls_class_1;LS 3
germ_ls_class_2;Light Fast Boat

germ_ls4_class_shop;LS 4
germ_ls4_class_0;"<color=#81c3fc>Dornier-Werft</color>
<color=#fffa62>leichtes Schnellboot</color>
LS 4 ""Esau"""
germ_ls4_class_1;LS 4
germ_ls4_class_2;Light Fast Boat

germ_s38_shop;S 38
germ_s38_0;"<color=#81c3fc>Fr. Lürssen Werft, Bau-Nr. 12831</color>
<color=#fffa62>Schnellboot (S 38-53)</color>
S 38"
germ_s38_1;S 38
germ_s38_2;Fast Boat

germ_s38b_shop;S 68
germ_s38b_0;"<color=#81c3fc>Fr. Lürssen Werft, Bau-Nr. 12861</color>
<color=#fffa62>Schnellboot (S 62-100)</color>
S 68"
germ_s38b_1;S 68
germ_s38b_2;Fast Boat

germ_s30_s61_shop;S 61
germ_s30_s61_0;"<color=#81c3fc>Fr. Lürssen Werft, Bau-Nr. 12854</color>
<color=#fffa62>Schnellboot (S 54-61)</color>
S 61"
germ_s30_s61_1;S 61
germ_s30_s61_2;Fast Boat

germ_s_100_class_shop;S 130
germ_s_100_class_0;"<color=#81c3fc>Schlichting-Werft, Bau-Nr. 1030</color>
<color=#fffa62>Schnellboot (S 126-133)</color>
S 130"
germ_s_100_class_1;S 130
germ_s_100_class_2;Fast Boat

germ_s_100_s_174_class_shop;S 174
germ_s_100_s_174_class_0;"<color=#81c3fc>Fr. Lürssen Werft, Bau-Nr. 12944</color>
<color=#fffa62>Schnellboot (S 171-186)</color>
S 174"
germ_s_100_s_174_class_1;S 174
germ_s_100_s_174_class_2;Fast Boat

germ_s_100_s204_lang_shop;S 204
germ_s_100_s204_lang_0;"<color=#81c3fc>Fr. Lürssen Werft, Bau-Nr. 12974</color>
Schnellboot (S 195-218)
S 204 ""Lang"""
germ_s_100_s204_lang_1;S 204
germ_s_100_s204_lang_2;Fast Boat

germ_s_700_s_701_shop;S 701
germ_s_700_s_701_0;"<color=#81c3fc>Danziger Waggonfabrik, Bau-Nr. 5001</color>
<color=#fffa62>Schnellboot (S 701-709)</color>
S 701"
germ_s_700_s_701_1;S 701
germ_s_700_s_701_2;Fast Boat

germ_rboot_r41_shop;R 41
germ_rboot_r41_0;"<color=#81c3fc>Schlichting-Werft, Bau-Nr. 971</color>
<color=#fffa62>Räumboot (R 41-129)</color>
R 41"
germ_rboot_r41_1;R 41
germ_rboot_r41_2;Minesweeper

germ_rboot_r130_shop;R 130
germ_rboot_r130_0;"<color=#81c3fc>Abeking & Rasmussen, Bau-Nr. 3701</color>
<color=#fffa62>Räumboot (R 130-150)</color>
R 130"
germ_rboot_r130_1;R 130
germ_rboot_r130_2;Minesweeper

germ_rboot_r301_shop;R 301
germ_rboot_r301_0;"<color=#81c3fc>Abeking & Rasmussen, Bau-Nr. 3620</color>
<color=#fffa62>Räumboot (R 301-312)</color>
R 301"
germ_rboot_r301_1;R 301
germ_rboot_r301_2;Minesweeper

germ_km5_shop;KS 5
germ_km5_0;"<color=#81c3fc>Rolandwerft</color>
<color=#fffa62>Küsten-Schnellboot</color>
<color=#919191>KM 5</color>
KS 5"
germ_km5_1;KS 5
germ_km5_2;Coastal Fast Boat

//COASTAL FLEET - VEHICLE/FAMILY START: RANK 2
germ_sf40_schwere_flakkampffaehre_shop;SF V 01
germ_sf40_schwere_flakkampffaehre_0;"<color=#81c3fc>Böndel Pionier-Sonderkommando</color>
<color=#fffa62>Siebelfähre <color=@commonTextColor>|</color> schwere Flakkampffähre</color>
SF V 01"
germ_sf40_schwere_flakkampffaehre_1;SF V 01
germ_sf40_schwere_flakkampffaehre_2;Heavy Anti-Aircraft Ferry

germ_sf40_leichte_flakkampffaehre_shop;SF 07
germ_sf40_leichte_flakkampffaehre_0;"<color=#81c3fc>Böndel Pionier-Sonderkommando</color>
<color=#fffa62>Siebelfähre 40 <color=@commonTextColor>|</color> leichte Flakkampffähre</color>
SF 07"
germ_sf40_leichte_flakkampffaehre_1;SF 07
germ_sf40_leichte_flakkampffaehre_2;Light Anti-Aircraft Ferry

germ_vs10_hydrofoil_shop;VS 10
germ_vs10_hydrofoil_0;"<color=#81c3fc>Gebrüder Sachsenberg, Bau-Nr. 1688</color>
<color=#fffa62>Versuchsschnellboote</color>
VS 10"
germ_vs10_hydrofoil_1;VS 10
germ_vs10_hydrofoil_2;Experimental Fast Boat

germ_vs8_hydrofoil_shop;VS 8
germ_vs8_hydrofoil_0;"<color=#81c3fc>Gebrüder Sachsenberg, Bau-Nr. 1689 </color>
<color=#fffa62>Versuchsschnellboote</color>
VS 8 ""Schell I"""
germ_vs8_hydrofoil_1;VS 8
germ_vs8_hydrofoil_2;Experimental Fast Boat

//COASTAL FLEET - VEHICLE/FAMILY START: RANK 3

//COASTAL FLEET - VEHICLE/FAMILY START: RANK 4
germ_rdm242_shop;Krischan der Große
germ_rdm242_0;"<color=#81c3fc>Rotterdamsche Droogdok Mij, Bau-Nr. 242</color>
<color=#fffa62>Flakträger</color>
Krischan der Große
<color=#adadad>(1943)</color>"
germ_rdm242_1;Krischan der Große
germ_rdm242_2;Anti-Aircraft Gun Carrier

germ_schutze_class_shop;Schütze (M 1062)
germ_schutze_class_0;"<color=#81c3fc>Abeking & Rasmussen</color>
<color=#fffa62>schnelles Minensuchboot Schütze-Klasse <color=@commonTextColor>|</color> Typ 340</color>
Schütze (M 1062)"
germ_schutze_class_1;Schütze (M 1062)
